DriverID,FirstName,LastName,Phone,LicenseNumber,LicenseType,HireDate
178,Dan,Peretz,0510000178,100178,D,2020-01-26
179,Amit,Katz,0510000179,100179,C,2020-06-12
180,Gil,Katz,0510000180,100180,B,2022-07-17
181,Or,Mizrahi,0510000181,100181,C,2023-08-17
182,Roi,Azoulay,0510000182,100182,C,2022-05-14
183,Eyal,Biton,0510000183,100183,C,2021-11-21
184,Nadav,Friedman,0510000184,100184,C,2021-01-25
185,Lior,Levy,0510000185,100185,D,2022-11-02
186,Dan,Mizrahi,0510000186,100186,D,2022-07-05
187,Tal,Mizrahi,0510000187,100187,B,2023-11-27
188,Eden,Harel,0510000188,100188,C,2021-12-08
189,Omer,Avraham,0510000189,100189,B,2021-05-03
190,Itai,Amar,0510000190,100190,B,2021-06-11
191,Tom,Biton,0510000191,100191,C,2023-08-03
192,Bar,Levy,0510000192,100192,B,2023-08-11
193,Noam,Goldberg,0510000193,100193,D,2022-02-28
194,Eden,Cohen,0510000194,100194,C,2020-04-23
195,Roi,Shalom,0510000195,100195,B,2022-05-12
196,Or,Azoulay,0510000196,100196,B,2020-08-27
197,Tal,Malka,0510000197,100197,B,2020-10-05
198,Gil,Shalom,0510000198,100198,C,2023-01-05
199,Bar,Avraham,0510000199,100199,B,2022-09-12
200,Roi,Cohen,0510000200,100200,D,2020-08-17
201,Yossi,Goldberg,0510000201,100201,C,2021-04-28
202,Roi,Malka,0510000202,100202,B,2020-11-22
203,Yuval,Azoulay,0510000203,100203,C,2023-09-12
204,Yossi,Levy,0510000204,100204,C,2021-03-24
205,Tal,Haimovich,0510000205,100205,B,2022-02-17
206,Roi,Mizrahi,0510000206,100206,B,2022-01-03
207,Roi,Levi,0510000207,100207,D,2022-11-23
208,Shai,Haimovich,0510000208,100208,D,2021-02-14
209,Gil,Shalom,0510000209,100209,C,2023-02-19
210,Bar,Harel,0510000210,100210,C,2021-05-02
211,Alon,Levy,0510000211,100211,C,2020-09-07
212,Yossi,Sharabi,0510000212,100212,D,2021-07-12
213,Lior,Goldberg,0510000213,100213,C,2021-12-22
214,Noam,Peretz,0510000214,100214,D,2021-04-14
215,Tom,Harel,0510000215,100215,B,2020-01-06
216,Tal,Levy,0510000216,100216,B,2023-03-20
217,Nadav,Katz,0510000217,100217,B,2023-10-06
218,Tom,Zohar,0510000218,100218,D,2020-10-25
219,Gil,Goldberg,0510000219,100219,B,2020-05-27
220,Noam,Levy,0510000220,100220,D,2023-04-04
221,Tal,Zohar,0510000221,100221,D,2021-04-10
222,Roi,Zohar,0510000222,100222,C,2022-12-03
223,Gil,Malka,0510000223,100223,D,2021-05-20
224,Lior,Biton,0510000224,100224,C,2022-06-02
225,Bar,Goldberg,0510000225,100225,D,2022-12-29
226,Yossi,Mor,0510000226,100226,B,2021-03-28
227,Bar,Katz,0510000227,100227,C,2021-11-29
228,Eyal,Mizrahi,0510000228,100228,B,2021-10-08
229,Tal,Malka,0510000229,100229,C,2020-05-25
230,Tal,Azoulay,0510000230,100230,D,2023-10-24
231,Shai,Cohen,0510000231,100231,C,2021-05-13
232,Noam,Shalom,0510000232,100232,C,2021-11-12
233,Itai,Goldberg,0510000233,100233,B,2022-05-09
234,Lior,Biton,0510000234,100234,C,2020-04-19
235,Gil,Cohen,0510000235,100235,C,2020-04-23
236,Eden,Haimovich,0510000236,100236,C,2023-04-13
237,Yuval,Avraham,0510000237,100237,B,2020-08-26
238,Nadav,Friedman,0510000238,100238,D,2020-08-10
239,Amit,Harel,0510000239,100239,C,2020-10-07
240,Or,Haimovich,0510000240,100240,C,2020-11-20
241,Or,Cohen,0510000241,100241,C,2022-01-08
242,Lior,Levi,0510000242,100242,C,2023-01-20
243,Nadav,Peretz,0510000243,100243,C,2020-01-14
244,Or,Zohar,0510000244,100244,C,2022-10-27
245,Yossi,Friedman,0510000245,100245,C,2023-12-19
246,Or,Avraham,0510000246,100246,B,2023-06-14
247,Nadav,Sharabi,0510000247,100247,C,2023-02-11
248,Nadav,Shalom,0510000248,100248,C,2021-02-09
249,Itai,Haimovich,0510000249,100249,D,2021-05-13
250,Itai,Sharabi,0510000250,100250,B,2020-01-31
251,Gil,Goldberg,0510000251,100251,D,2022-10-06
252,Or,Sharabi,0510000252,100252,C,2021-03-15
253,Bar,BenDavid,0510000253,100253,C,2020-04-26
254,Or,Harel,0510000254,100254,B,2021-09-04
255,Nadav,Mor,0510000255,100255,C,2021-10-06
256,Omer,Amar,0510000256,100256,D,2023-02-13
257,Tom,Harel,0510000257,100257,B,2021-11-22
258,Or,Friedman,0510000258,100258,D,2023-03-20
259,Bar,Cohen,0510000259,100259,C,2023-10-31
260,Tom,Cohen,0510000260,100260,D,2020-04-02
261,Nadav,Biton,0510000261,100261,B,2020-01-19
262,Yossi,Cohen,0510000262,100262,D,2021-06-21
263,Yossi,Levi,0510000263,100263,B,2020-08-04
264,Shai,BenDavid,0510000264,100264,C,2020-03-01
265,Alon,Cohen,0510000265,100265,C,2021-04-12
266,Tom,Levi,0510000266,100266,D,2021-02-17
267,Shai,Amar,0510000267,100267,D,2020-12-06
268,Noam,Cohen,0510000268,100268,D,2020-12-13
269,Yossi,Friedman,0510000269,100269,B,2023-02-13
270,Eden,Haimovich,0510000270,100270,C,2021-07-15
271,Gil,Haimovich,0510000271,100271,D,2020-03-31
272,Dan,Biton,0510000272,100272,C,2022-02-03
273,Roi,Zohar,0510000273,100273,B,2022-07-02
274,Tom,Avraham,0510000274,100274,C,2022-05-25
275,Nadav,Harel,0510000275,100275,D,2021-10-17
276,Yossi,Levi,0510000276,100276,C,2021-03-01
277,Lior,Sharabi,0510000277,100277,C,2020-11-29
278,Eden,Mor,0510000278,100278,C,2020-10-02
279,Shai,Mor,0510000279,100279,B,2022-12-18
280,Nadav,Azoulay,0510000280,100280,C,2022-09-13
281,Bar,Katz,0510000281,100281,B,2022-06-15
282,Bar,Amar,0510000282,100282,B,2020-07-06
283,Amit,Cohen,0510000283,100283,C,2021-10-26
284,Or,Levy,0510000284,100284,B,2022-10-30
285,Tal,Levy,0510000285,100285,B,2020-03-26
286,Tal,Peretz,0510000286,100286,B,2021-05-04
287,Ido,Mor,0510000287,100287,B,2021-01-23
288,Roi,Levy,0510000288,100288,B,2021-01-08
289,Roi,Haimovich,0510000289,100289,D,2023-01-21
290,Tal,Haimovich,0510000290,100290,D,2020-02-01
291,Amit,Cohen,0510000291,100291,C,2021-03-06
292,Tom,Zohar,0510000292,100292,B,2021-04-07
293,Eden,Zohar,0510000293,100293,D,2022-12-19
294,Nadav,Goldberg,0510000294,100294,C,2023-05-15
295,Tom,BenDavid,0510000295,100295,C,2023-12-01
296,Tom,Harel,0510000296,100296,D,2020-06-12
297,Omer,Levi,0510000297,100297,C,2020-08-13
298,Or,Levy,0510000298,100298,C,2023-04-18
299,Noam,Mizrahi,0510000299,100299,D,2020-12-07
300,Shai,Harel,0510000300,100300,D,2021-10-18
301,Omer,Katz,0510000301,100301,D,2023-12-20
302,Eden,Amar,0510000302,100302,C,2021-11-02
303,Ido,Levy,0510000303,100303,B,2021-12-12
304,Bar,Mizrahi,0510000304,100304,D,2021-05-07
305,Lior,Sharabi,0510000305,100305,D,2023-12-16
306,Ido,Avraham,0510000306,100306,B,2023-02-05
307,Ido,Mizrahi,0510000307,100307,C,2021-08-02
308,Yuval,BenDavid,0510000308,100308,D,2023-10-25
309,Tal,Levi,0510000309,100309,D,2021-06-18
310,Ido,Friedman,0510000310,100310,D,2021-10-05
311,Bar,Levi,0510000311,100311,B,2021-01-19
312,Alon,Amar,0510000312,100312,C,2020-03-23
313,Gil,Goldberg,0510000313,100313,B,2020-04-30
314,Ido,Cohen,0510000314,100314,D,2022-01-06
315,Gil,Malka,0510000315,100315,D,2020-05-07
316,Eyal,Sharabi,0510000316,100316,B,2021-03-09
317,Or,Levy,0510000317,100317,B,2020-10-02
318,Shai,Sharabi,0510000318,100318,C,2023-01-20
319,Nadav,Haimovich,0510000319,100319,D,2022-09-17
320,Itai,Cohen,0510000320,100320,C,2021-01-30
321,Alon,Katz,0510000321,100321,D,2022-07-21
322,Noam,BenDavid,0510000322,100322,D,2022-06-18
323,Tom,Sharabi,0510000323,100323,D,2020-03-18
324,Nadav,Peretz,0510000324,100324,B,2023-04-16
325,Bar,Levi,0510000325,100325,D,2023-11-24
326,Roi,Shalom,0510000326,100326,B,2023-04-25
327,Yossi,Haimovich,0510000327,100327,C,2023-05-23
328,Gil,Goldberg,0510000328,100328,C,2020-08-21
329,Noam,Katz,0510000329,100329,B,2020-02-03
330,Eden,BenDavid,0510000330,100330,D,2020-05-20
331,Itai,Levi,0510000331,100331,B,2020-03-22
332,Itai,Haimovich,0510000332,100332,B,2023-06-21
333,Noam,Biton,0510000333,100333,D,2022-04-09
334,Lior,Katz,0510000334,100334,C,2021-03-17
335,Tom,BenDavid,0510000335,100335,D,2023-04-30
336,Yossi,Levy,0510000336,100336,B,2022-09-07
337,Eyal,Goldberg,0510000337,100337,D,2022-01-29
338,Gil,Levi,0510000338,100338,C,2022-05-30
339,Tal,Malka,0510000339,100339,C,2020-11-10
340,Eden,Harel,0510000340,100340,C,2022-12-24
341,Shai,Harel,0510000341,100341,C,2020-04-05
342,Or,Levy,0510000342,100342,C,2020-09-25
343,Itai,Mizrahi,0510000343,100343,B,2021-03-24
344,Eyal,Katz,0510000344,100344,D,2021-07-05
345,Yuval,Avraham,0510000345,100345,D,2022-12-13
346,Or,Biton,0510000346,100346,C,2020-10-07
347,Eden,Amar,0510000347,100347,D,2020-08-13
348,Alon,Cohen,0510000348,100348,D,2021-05-20
349,Amit,Cohen,0510000349,100349,D,2021-08-26
350,Roi,BenDavid,0510000350,100350,C,2023-02-27
351,Roi,Haimovich,0510000351,100351,D,2022-06-26
352,Shai,Malka,0510000352,100352,D,2022-08-16
353,Tom,Amar,0510000353,100353,B,2023-10-20
354,Lior,Harel,0510000354,100354,D,2023-04-17
355,Amit,Levy,0510000355,100355,D,2021-12-26
356,Alon,Azoulay,0510000356,100356,B,2023-03-15
357,Amit,Avraham,0510000357,100357,D,2022-01-01
358,Yuval,Levy,0510000358,100358,D,2022-07-09
359,Roi,Sharabi,0510000359,100359,B,2020-03-29
360,Yuval,Mizrahi,0510000360,100360,C,2022-06-14
361,Yuval,Malka,0510000361,100361,B,2023-05-11
362,Ido,Levy,0510000362,100362,B,2022-06-19
363,Dan,Mor,0510000363,100363,C,2022-11-30
364,Tal,Zohar,0510000364,100364,B,2020-01-05
365,Yuval,BenDavid,0510000365,100365,C,2021-08-01
366,Eden,Levi,0510000366,100366,D,2022-09-25
367,Alon,Mizrahi,0510000367,100367,C,2021-11-19
368,Shai,Friedman,0510000368,100368,C,2020-02-18
369,Alon,Harel,0510000369,100369,B,2022-06-04
370,Or,Harel,0510000370,100370,B,2020-06-06
371,Gil,Haimovich,0510000371,100371,B,2020-11-21
372,Alon,Zohar,0510000372,100372,D,2021-04-23
373,Ido,Peretz,0510000373,100373,D,2023-04-12
374,Amit,Levy,0510000374,100374,C,2021-07-21
375,Tom,Zohar,0510000375,100375,C,2021-02-11
376,Amit,Peretz,0510000376,100376,D,2023-05-08
377,Yuval,Amar,0510000377,100377,C,2020-12-21
378,Lior,Friedman,0510000378,100378,B,2020-09-03
379,Eyal,BenDavid,0510000379,100379,D,2022-08-15
380,Ido,Malka,0510000380,100380,D,2022-06-28
381,Tal,Shalom,0510000381,100381,B,2022-12-06
382,Lior,Friedman,0510000382,100382,D,2023-02-17
383,Itai,Friedman,0510000383,100383,D,2023-09-24
384,Lior,Peretz,0510000384,100384,D,2021-03-31
385,Nadav,Harel,0510000385,100385,B,2022-02-27
386,Lior,Shalom,0510000386,100386,C,2023-02-18
387,Gil,Amar,0510000387,100387,D,2023-04-07
388,Tal,Cohen,0510000388,100388,B,2022-05-16
389,Omer,Malka,0510000389,100389,B,2023-07-14
390,Tom,Biton,0510000390,100390,B,2022-08-31
391,Noam,Mizrahi,0510000391,100391,C,2020-11-20
392,Nadav,Peretz,0510000392,100392,C,2023-06-12
393,Alon,Cohen,0510000393,100393,C,2021-02-26
394,Eden,Azoulay,0510000394,100394,C,2021-12-03
395,Alon,Harel,0510000395,100395,D,2021-11-07
396,Roi,Biton,0510000396,100396,C,2023-03-25
397,Shai,Katz,0510000397,100397,C,2021-03-07
398,Alon,BenDavid,0510000398,100398,C,2021-10-20
399,Or,Azoulay,0510000399,100399,D,2022-09-13
400,Yuval,Shalom,0510000400,100400,C,2022-11-12
401,Omer,Levi,0510000401,100401,B,2022-01-20
402,Bar,Shalom,0510000402,100402,D,2020-06-16
403,Itai,Mor,0510000403,100403,B,2020-10-12
404,Eden,Goldberg,0510000404,100404,C,2020-05-14
405,Nadav,Goldberg,0510000405,100405,D,2020-04-01
406,Yuval,Biton,0510000406,100406,C,2022-06-21
407,Tom,Amar,0510000407,100407,C,2021-11-11
408,Dan,Haimovich,0510000408,100408,B,2023-03-16
409,Eyal,BenDavid,0510000409,100409,B,2023-09-03
410,Roi,Biton,0510000410,100410,C,2021-01-23
411,Lior,Peretz,0510000411,100411,B,2020-07-04
412,Omer,Malka,0510000412,100412,C,2022-04-26
413,Lior,Harel,0510000413,100413,C,2022-08-26
414,Bar,Peretz,0510000414,100414,D,2022-06-08
415,Shai,Shalom,0510000415,100415,D,2021-03-23
416,Ido,Katz,0510000416,100416,D,2020-07-01
417,Nadav,Haimovich,0510000417,100417,B,2020-11-24
418,Tal,Amar,0510000418,100418,B,2023-03-09
419,Yuval,Harel,0510000419,100419,D,2020-01-15
420,Amit,Friedman,0510000420,100420,C,2023-11-02
421,Ido,Sharabi,0510000421,100421,D,2023-07-01
422,Shai,Harel,0510000422,100422,D,2023-09-26
423,Yossi,Peretz,0510000423,100423,B,2022-01-11
424,Itai,Haimovich,0510000424,100424,C,2022-12-14
425,Itai,Katz,0510000425,100425,C,2022-09-27
426,Shai,Haimovich,0510000426,100426,B,2023-05-27
427,Eden,Azoulay,0510000427,100427,B,2021-11-23
428,Shai,Azoulay,0510000428,100428,B,2022-06-20
429,Itai,Shalom,0510000429,100429,C,2023-03-18
430,Ido,Friedman,0510000430,100430,D,2022-11-08
431,Roi,Mor,0510000431,100431,D,2020-08-12
432,Noam,Goldberg,0510000432,100432,B,2023-07-05
433,Roi,Levi,0510000433,100433,B,2020-09-04
434,Noam,Sharabi,0510000434,100434,B,2023-09-25
435,Itai,Sharabi,0510000435,100435,B,2023-04-25
436,Noam,Avraham,0510000436,100436,C,2020-05-26
437,Yuval,Harel,0510000437,100437,B,2021-08-25
438,Dan,Sharabi,0510000438,100438,D,2021-01-24
439,Omer,Azoulay,0510000439,100439,B,2021-05-19
440,Noam,Friedman,0510000440,100440,B,2022-01-26
441,Shai,Biton,0510000441,100441,B,2023-11-05
442,Eyal,Harel,0510000442,100442,D,2021-09-01
443,Amit,Amar,0510000443,100443,D,2021-01-11
444,Dan,Biton,0510000444,100444,D,2020-07-19
445,Gil,Harel,0510000445,100445,D,2022-03-24
446,Yuval,BenDavid,0510000446,100446,C,2023-09-17
447,Or,Malka,0510000447,100447,C,2022-07-13
448,Eyal,Goldberg,0510000448,100448,B,2022-09-01
449,Tal,Shalom,0510000449,100449,B,2022-01-02
450,Yuval,Mizrahi,0510000450,100450,C,2021-12-03
451,Eyal,Zohar,0510000451,100451,B,2020-03-06
452,Tom,Harel,0510000452,100452,D,2022-01-20
453,Yuval,Haimovich,0510000453,100453,C,2022-12-19
454,Yuval,Cohen,0510000454,100454,D,2022-04-15
455,Dan,BenDavid,0510000455,100455,C,2022-11-07
456,Or,Levi,0510000456,100456,B,2022-12-29
457,Eyal,Mor,0510000457,100457,D,2021-06-23
458,Omer,BenDavid,0510000458,100458,B,2022-10-26
459,Roi,Harel,0510000459,100459,C,2023-03-28
460,Omer,Avraham,0510000460,100460,C,2022-07-28
461,Tal,Zohar,0510000461,100461,D,2021-05-31
462,Dan,Goldberg,0510000462,100462,D,2020-02-23
463,Noam,Friedman,0510000463,100463,C,2023-10-13
464,Gil,Haimovich,0510000464,100464,B,2020-02-29
465,Nadav,Mizrahi,0510000465,100465,C,2022-09-20
466,Alon,Haimovich,0510000466,100466,D,2021-06-01
467,Yuval,Malka,0510000467,100467,C,2023-01-05
468,Roi,Biton,0510000468,100468,D,2023-08-16
469,Dan,Malka,0510000469,100469,B,2020-08-31
470,Alon,Mor,0510000470,100470,C,2021-11-05
471,Gil,Friedman,0510000471,100471,D,2022-11-18
472,Bar,Mor,0510000472,100472,B,2020-07-22
473,Omer,Biton,0510000473,100473,D,2020-07-07
474,Eyal,BenDavid,0510000474,100474,B,2023-10-21
475,Yuval,Biton,0510000475,100475,C,2022-07-04
476,Tom,Shalom,0510000476,100476,D,2020-10-19
477,Bar,Levy,0510000477,100477,D,2023-05-11
478,Itai,Katz,0510000478,100478,B,2020-08-29
479,Omer,Levi,0510000479,100479,D,2022-12-07
480,Eyal,Cohen,0510000480,100480,D,2020-03-09
481,Dan,Sharabi,0510000481,100481,B,2023-03-07
482,Gil,Avraham,0510000482,100482,D,2023-11-17
483,Alon,Zohar,0510000483,100483,C,2022-09-20
484,Noam,Peretz,0510000484,100484,B,2023-03-27
485,Or,Mor,0510000485,100485,B,2022-03-27
486,Roi,Levi,0510000486,100486,D,2020-06-30
487,Dan,Avraham,0510000487,100487,C,2020-06-25
488,Eden,Sharabi,0510000488,100488,C,2020-09-25
489,Itai,Katz,0510000489,100489,D,2023-11-02
490,Lior,BenDavid,0510000490,100490,B,2020-12-11
491,Bar,Levy,0510000491,100491,D,2020-07-23
492,Eden,Sharabi,0510000492,100492,D,2021-04-16
493,Eden,Haimovich,0510000493,100493,B,2022-10-15
494,Shai,Mizrahi,0510000494,100494,B,2020-03-08
495,Bar,BenDavid,0510000495,100495,C,2021-09-22
496,Amit,Mor,0510000496,100496,C,2020-09-20
497,Yuval,Goldberg,0510000497,100497,B,2023-04-29
498,Tal,Haimovich,0510000498,100498,B,2020-10-18
499,Amit,Harel,0510000499,100499,D,2023-10-17
500,Bar,Shalom,0510000500,100500,D,2022-04-25
501,Or,Levi,0510000501,100501,C,2020-03-10
502,Or,Levy,0510000502,100502,B,2020-05-22
503,Yuval,Levy,0510000503,100503,C,2020-12-27
504,Yuval,Biton,0510000504,100504,B,2021-10-24
505,Lior,Biton,0510000505,100505,B,2021-01-16
506,Omer,Zohar,0510000506,100506,C,2023-03-25
507,Yossi,Friedman,0510000507,100507,D,2021-07-29
508,Eden,BenDavid,0510000508,100508,B,2022-07-07
509,Alon,Avraham,0510000509,100509,D,2020-06-03
510,Dan,Goldberg,0510000510,100510,C,2023-03-04
511,Yuval,Avraham,0510000511,100511,C,2020-02-11
512,Shai,Levy,0510000512,100512,B,2020-11-18
513,Dan,Cohen,0510000513,100513,C,2023-06-08
514,Shai,Haimovich,0510000514,100514,B,2021-08-13
